lat county,long county,FIPS,county_state names
46.211918,-107.269539,30103,Treasure_Montana
48.372154,-106.668991,30105,Valley_Montana
46.45694,-109.829964,30107,Wheatland_Montana
46.963612,-104.250328,30109,Wibaux_Montana
45.934128,-108.275406,30111,Yellowstone_Montana
46.098167,-102.522713,38001,Adams_North_Dakota
46.937675,-98.079559,38003,Barnes_North_Dakota
48.067677,-99.356964,38005,Benson_North_Dakota
47.001572,-103.277908,38007,Billings_North_Dakota
48.784023,-100.831467,38009,Bottineau_North_Dakota
46.111507,-103.513947,38011,Bowman_North_Dakota
48.790657,-102.525002,38013,Burke_North_Dakota
46.984558,-100.470436,38015,Burleigh_North_Dakota
46.925789,-97.259338,38017,Cass_North_Dakota
48.775139,-98.461754,38019,Cavalier_North_Dakota
46.116787,-98.512192,38021,Dickey_North_Dakota
48.81031,-103.481339,38023,Divide_North_Dakota
47.350323,-102.624741,38025,Dunn_North_Dakota
47.718941,-98.913551,38027,Eddy_North_Dakota
46.289165,-100.238449,38029,Emmons_North_Dakota
47.462997,-98.886024,38031,Foster_North_Dakota
46.938702,-103.848183,38033,Golden_Valley_North_Dakota
47.923908,-97.458466,38035,Grand_Forks_North_Dakota
46.358727,-101.638252,38037,Grant_North_Dakota
47.458054,-98.231178,38039,Griggs_North_Dakota
46.432156,-102.463333,38041,Hettinger_North_Dakota
46.9729,-99.780869,38043,Kidder_North_Dakota
46.46283,-98.543541,38045,Lamoure_North_Dakota
46.456547,-99.475609,38047,Logan_North_Dakota
48.23399,-100.633842,38049,McHenry_North_Dakota
46.10778,-99.440742,38051,McIntosh_North_Dakota
47.786785,-103.34491,38053,McKenzie_North_Dakota
47.60511,-101.287918,38055,McLean_North_Dakota
47.307919,-101.825165,38057,Mercer_North_Dakota
46.716671,-101.276917,38059,Morton_North_Dakota
48.210033,-102.351334,38061,Mountrail_North_Dakota
47.923084,-98.19725,38063,Nelson_North_Dakota
47.11729,-101.343445,38065,Oliver_North_Dakota
48.767834,-97.556885,38067,Pembina_North_Dakota
48.241131,-99.973999,38069,Pierce_North_Dakota
48.274445,-98.724037,38071,Ramsey_North_Dakota
46.45512,-97.665283,38073,Ransom_North_Dakota
48.7206,-101.661636,38075,Renville_North_Dakota
46.274307,-96.968399,38077,Richland_North_Dakota
48.764942,-99.837593,38079,Rolette_North_Dakota
46.115116,-97.642555,38081,Sargent_North_Dakota
47.576092,-100.344749,38083,Sheridan_North_Dakota
46.111931,-101.037056,38085,Sioux_North_Dakota
46.429359,-103.367485,38087,Slope_North_Dakota
46.812023,-102.656677,38089,Stark_North_Dakota
47.456638,-97.723106,38091,Steele_North_Dakota
46.980705,-98.960228,38093,Stutsman_North_Dakota
48.682457,-99.249733,38095,Towner_North_Dakota
47.453548,-97.160591,38097,Traill_North_Dakota
48.360825,-97.723297,38099,Walsh_North_Dakota
48.220249,-101.546478,38101,Ward_North_Dakota
47.588963,-99.665398,38103,Wells_North_Dakota
48.343533,-103.479034,38105,Williams_North_Dakota
46.600071,-93.423447,27001,Aitkin_Minnesota
45.275692,-93.239311,27003,Anoka_Minnesota
46.934296,-95.671768,27005,Becker_Minnesota
47.890179,-94.903107,27007,Beltrami_Minnesota
45.694828,-94.001595,27009,Benton_Minnesota
45.431946,-96.420441,27011,Big_Stone_Minnesota
44.034729,-94.068253,27013,Blue_Earth_Minnesota
44.243896,-94.733421,27015,Brown_Minnesota
46.595314,-92.675583,27017,Carlton_Minnesota
44.824917,-93.806488,27019,Carver_Minnesota
46.936584,-94.339134,27021,Cass_Minnesota
45.021084,-95.567268,27023,Chippewa_Minnesota
45.512058,-92.911743,27025,Chisago_Minnesota
46.89254,-96.490936,27027,Clay_Minnesota
47.562035,-95.37912,27029,Clearwater_Minnesota
47.844673,-90.452774,27031,Cook_Minnesota
44.003616,-95.176414,27033,Cottonwood_Minnesota
46.48555,-94.071129,27035,Crow_Wing_Minnesota
44.675499,-93.070747,27037,Dakota_Minnesota
44.029869,-92.867989,27039,Dodge_Minnesota
45.934738,-95.456009,27041,Douglas_Minnesota
43.682335,-93.936729,27043,Faribault_Minnesota
43.676052,-92.091431,27045,Fillmore_Minnesota
43.676392,-93.342163,27047,Freeborn_Minnesota
44.414753,-92.719894,27049,Goodhue_Minnesota
45.928665,-96.013382,27051,Grant_Minnesota
45.008011,-93.477875,27053,Hennepin_Minnesota
43.674149,-91.492004,27055,Houston_Minnesota
47.111305,-94.913742,27057,Hubbard_Minnesota
45.567364,-93.29995,27059,Isanti_Minnesota
47.509258,-93.618301,27061,Itasca_Minnesota
43.681805,-95.161629,27063,Jackson_Minnesota
45.942333,-93.28804,27065,Kanabec_Minnesota
45.15588,-95.007721,27067,Kandiyohi_Minnesota
48.776539,-96.787773,27069,Kittson_Minnesota
48.282654,-93.650108,27071,Koochiching_Minnesota
44.997097,-96.166985,27073,Lac_qui_Parle_Minnesota
48.773716,-94.853226,27077,Lake_of_the_Woods_Minnesota
47.355904,-90.857178,27031,Lake_Superior_Minnesota
47.491673,-91.51165,27075,Lake_Minnesota
44.378033,-93.719238,27079,Le_Sueur_Minnesota
44.414227,-96.265709,27081,Lincoln_Minnesota
44.408401,-95.834686,27083,Lyon_Minnesota
47.328667,-95.799133,27087,Mahnomen_Minnesota
48.363956,-96.352249,27089,Marshall_Minnesota
43.672752,-94.555016,27091,Martin_Minnesota
44.822922,-94.270424,27085,McLeod_Minnesota
45.124477,-94.525101,27093,Meeker_Minnesota
45.941715,-93.626503,27095,Mille_Lacs_Minnesota
46.012169,-94.264053,27097,Morrison_Minnesota
43.674026,-92.747932,27099,Mower_Minnesota
44.018696,-95.749969,27101,Murray_Minnesota
44.351154,-94.248619,27103,Nicollet_Minnesota
43.669418,-95.759163,27105,Nobles_Minnesota
47.319809,-96.452049,27107,Norman_Minnesota
44.005516,-92.407242,27109,Olmsted_Minnesota
46.407124,-95.707756,27111,Otter_Tail_Minnesota
48.073563,-96.042107,27113,Pennington_Minnesota
46.115799,-92.757446,27115,Pine_Minnesota
44.024658,-96.25428,27117,Pipestone_Minnesota
47.779106,-96.406792,27119,Polk_Minnesota
45.589481,-95.437454,27121,Pope_Minnesota
45.013699,-93.104057,27123,Ramsey_Minnesota
47.871952,-96.10495,27125,Red_Lake_Minnesota
44.399754,-95.256218,27127,Redwood_Minnesota
44.727283,-94.932465,27129,Renville_Minnesota
44.353409,-93.293221,27131,Rice_Minnesota
43.67532,-96.260826,27133,Rock_Minnesota
48.780575,-95.830971,27135,Roseau_Minnesota
47.489952,-92.507706,27137,Saint_Louis_Minnesota
44.653805,-93.534531,27139,Scott_Minnesota
45.442562,-93.765999,27141,Sherburne_Minnesota
44.583374,-94.227448,27143,Sibley_Minnesota
45.553177,-94.610878,27145,Stearns_Minnesota
44.021744,-93.22747,27147,Steele_Minnesota
45.577942,-95.994698,27149,Stevens_Minnesota
45.286411,-95.679321,27151,Swift_Minnesota
46.075905,-94.899635,27153,Todd_Minnesota
45.778839,-96.46489,27155,Traverse_Minnesota
44.284302,-92.235023,27157,Wabasha_Minnesota
46.596634,-94.969498,27159,Wadena_Minnesota
44.022694,-93.584396,27161,Waseca_Minnesota
45.045433,-92.885033,27163,Washington_Minnesota
43.982685,-94.608482,27165,Watonwan_Minnesota
46.363159,-96.467308,27167,Wilkin_Minnesota
43.985546,-91.783569,27169,Winona_Minnesota
45.177769,-93.964745,27171,Wright_Minnesota
44.715923,-95.874908,27173,Yellow_Medicine_Minnesota
43.964958,-89.768143,55001,Adams_Wisconsin
46.298298,-90.662117,55003,Ashland_Wisconsin
45.422634,-91.849548,55005,Barron_Wisconsin
46.531158,-91.189545,55007,Bayfield_Wisconsin
44.450378,-88.005249,55009,Brown_Wisconsin
44.382778,-91.754478,55011,Buffalo_Wisconsin
45.862988,-92.37117,55013,Burnett_Wisconsin
44.080849,-88.221146,55015,Calumet_Wisconsin
45.068417,-91.277496,55017,Chippewa_Wisconsin
44.734341,-90.609337,55019,Clark_Wisconsin
43.469486,-89.336502,55021,Columbia_Wisconsin
43.241627,-90.927429,55023,Crawford_Wisconsin
43.067368,-89.415817,55025,Dane_Wisconsin
43.415936,-88.705399,55027,Dodge_Wisconsin
44.769157,-87.501572,55029,Door_Wisconsin
46.444946,-91.906715,55031,Douglas_Wisconsin
44.946247,-91.897545,55033,Dunn_Wisconsin
44.727409,-91.28904,55035,Eau_Claire_Wisconsin
45.849792,-88.398788,55037,Florence_Wisconsin
43.754768,-88.491096,55039,Fond_du_Lac_Wisconsin
45.649101,-88.781418,55041,Forest_Wisconsin
42.8694,-90.705513,55043,Grant_Wisconsin
43.799252,-89.04351,55047,Green_Lake_Wisconsin
42.680328,-89.600571,55045,Green_Wisconsin
42.999569,-90.132065,55049,Iowa_Wisconsin
46.26387,-90.22007,55051,Iron_Wisconsin
44.322392,-90.807251,55053,Jackson_Wisconsin
43.021713,-88.775635,55055,Jefferson_Wisconsin
43.926952,-90.110786,55057,Juneau_Wisconsin
42.579262,-88.02198,55059,Kenosha_Wisconsin
44.519302,-87.616737,55061,Kewaunee_Wisconsin
43.902885,-91.113487,55063,La_Crosse_Wisconsin
42.66077,-90.131027,55065,Lafayette_Wisconsin
45.058792,-87.115852,55029,Lake_Michigan_Wisconsin
46.967316,-90.804398,55007,Lake_Superior_Wisconsin
45.265503,-89.076134,55067,Langlade_Wisconsin
45.335354,-89.723442,55069,Lincoln_Wisconsin
44.10442,-87.783775,55071,Manitowoc_Wisconsin
44.897728,-89.757492,55073,Marathon_Wisconsin
45.375652,-88.020424,55075,Marinette_Wisconsin
43.817387,-89.398766,55077,Marquette_Wisconsin
45.013599,-88.689201,55078,Menominee_Wisconsin
43.003792,-87.928207,55079,Milwaukee_Wisconsin
43.946022,-90.618736,55081,Monroe_Wisconsin
45.024632,-88.265823,55083,Oconto_Wisconsin
45.705807,-89.521782,55085,Oneida_Wisconsin
44.415562,-88.467667,55087,Outagamie_Wisconsin
43.384464,-87.955032,55089,Ozaukee_Wisconsin
44.587055,-91.989281,55091,Pepin_Wisconsin
44.720058,-92.429962,55093,Pierce_Wisconsin
45.462936,-92.436554,55095,Polk_Wisconsin
44.474442,-89.502274,55097,Portage_Wisconsin
45.676071,-90.371338,55099,Price_Wisconsin
42.756542,-87.899384,55101,Racine_Wisconsin
43.373283,-90.432846,55103,Richland_Wisconsin
42.673405,-89.069244,55105,Rock_Wisconsin
45.475513,-91.132538,55107,Rusk_Wisconsin
45.031506,-92.450119,55109,Saint_Croix_Wisconsin
43.425602,-89.951317,55111,Sauk_Wisconsin
45.882816,-91.155869,55113,Sawyer_Wisconsin
44.790218,-88.768776,55115,Shawano_Wisconsin
43.720413,-87.94548,55117,Sheboygan_Wisconsin
45.210411,-90.502571,55119,Taylor_Wisconsin
44.298843,-91.359344,55121,Trempealeau_Wisconsin
43.592255,-90.832939,55123,Vernon_Wisconsin
46.052006,-89.513748,55125,Vilas_Wisconsin
42.67131,-88.540573,55127,Walworth_Wisconsin
45.895554,-91.793129,55129,Washburn_Wisconsin
43.398727,-88.305466,55131,Washington_Wisconsin
43.020424,-88.301689,55133,Waukesha_Wisconsin
44.47237,-88.96489,55135,Waupaca_Wisconsin
44.112823,-89.245903,55137,Waushara_Wisconsin
44.048103,-88.650146,55139,Winnebago_Wisconsin
44.453964,-90.042229,55141,Wood_Wisconsin
44.700451,-117.648857,41001,Baker_Oregon
44.500389,-123.406631,41003,Benton_Oregon
45.261654,-122.302711,41005,Clackamas_Oregon
45.984989,-123.663597,41007,Clatsop_Oregon
45.940617,-123.074959,41009,Columbia_Oregon
43.191063,-124.103844,41011,Coos_Oregon
44.101635,-120.373856,41013,Crook_Oregon
42.440208,-124.23497,41015,Curry_Oregon
43.954494,-121.088303,41017,Deschutes_Oregon
43.298355,-123.375,41019,Douglas_Oregon
45.379078,-120.211906,41021,Gilliam_Oregon
44.480289,-119.098465,41023,Grant_Oregon
42.99897,-118.962379,41025,Harney_Oregon
45.531738,-121.615326,41027,Hood_River_Oregon
42.411636,-122.805099,41029,Jackson_Oregon
44.623974,-121.12101,41031,Jefferson_Oregon
42.356785,-123.507034,41033,Josephine_Oregon
42.48666,-121.584099,41035,Klamath_Oregon
42.832493,-120.250076,41037,Lake_Oregon
44.000923,-123.144638,41039,Lane_Oregon
44.633701,-123.8703,41041,Lincoln_Oregon
44.506016,-122.783234,41043,Linn_Oregon
43.176266,-117.624031,41045,Malheur_Oregon
44.930676,-122.761353,41047,Marion_Oregon
